"Jahr","Kanton (-) / Bezirk (>>) / Gemeinde (......)","Haushaltsgrösse - Total","1 Person","2 Personen","3 Personen","4 Personen","5 Personen","6 oder mehr Personen"
"2023","......0405 Ersigen",2018,273,678,327,484,180,76
"2023","......0406 Hasle bei Burgdorf",3290,473,1126,462,792,280,157
"2023","......0407 Heimiswil",1614,214,512,189,412,200,87
"2023","......0408 Hellsau",209,16,60,42,52,20,19
"2023","......0409 Hindelbank",2744,413,924,387,696,275,49
"2023","......0410 Höchstetten",260,35,88,30,72,35,0
"2023","......0411 Kernenried",543,53,192,96,132,70,0
"2023","......0412 Kirchberg (BE)",5792,920,2070,768,1292,545,197
"2023","......0413 Koppigen",2231,313,796,384,480,190,68
"2023","......0414 Krauchthal",2361,308,848,393,544,200,68
"2023","......0415 Lyssach",1463,218,526,234,340,120,25
"2023","......0418 Oberburg",2886,463,968,420,532,310,193
"2023","......0420 Rüdtligen-Alchenflüh",2426,423,792,354,528,215,114
"2023","......0421 Rumendingen",82,13,26,6,32,5,0
"2023","......0422 Rüti bei Lyssach",161,24,54,33,24,20,6
"2023","......0423 Willadingen",190,35,84,33,28,10,0
"2023","......0424 Wynigen",2062,280,704,273,464,215,126
"2023","......0533 Bätterkinden",3344,455,1244,486,852,265,42
"2023","......0552 Utzenstorf",4439,689,1582,693,976,395,104
"2023","......0554 Wiler bei Utzenstorf",1034,132,340,156,228,115,63
"2023","......0556 Zielebach",325,34,134,51,96,10,0
"2023","......0901 Eggiwil",2396,315,764,360,456,340,161
"2023","......0902 Langnau im Emmental",9193,1616,3164,1281,1788,905,439
"2023","......0903 Lauperswil",2676,412,988,336,556,245,139
"2023","......0904 Röthenbach im Emmental",1146,153,406,171,180,165,71
"2023","......0905 Rüderswil",2377,366,814,324,524,270,79
"2023","......0906 Schangnau",903,107,264,111,216,155,50
"2023","......0907 Signau",2620,435,972,357,552,190,114
"2023","......0908 Trub",1241,148,380,144,268,165,136
"2023","......0909 Trubschachen",1468,208,456,231,336,155,82
"2023","......0951 Affoltern im Emmental",1187,181,448,171,252,110,25
"2023","......0952 Dürrenroth",1078,160,324,144,224,145,81
"2023","......0955 Lützelflüh",4301,649,1484,651,884,370,263
"2023","......0956 Rüegsau",3222,502,1120,501,612,295,192
"2023","......0957 Sumiswald",4965,830,1610,747,976,580,222
"2023","......0958 Trachselwald",896,142,314,114,140,125,61
"2023",">> Verwaltungskreis Bern-Mittelland",416270,79081,134650,67053,86816,33320,15350
"2023","......0307 Meikirch",2547,335,922,387,576,250,77
"2023","......0351 Bern",132605,32431,39634,21744,23804,9440,5552
"2023","......0352 Bolligen",6164,905,2052,909,1556,575,167
"2023","......0353 Bremgarten bei Bern",4365,621,1396,729,1172,345,102
"2023","......0354 Kirchlindach",3226,503,1218,519,700,230,56
"2023","......0355 Köniz",42308,7674,13308,7203,9240,3310,1573
"2023","......0356 Muri bei Bern",13035,2207,4360,2088,2900,1095,385
"2023","......0357 Oberbalm",863,145,276,114,212,70,46
"2023","......0358 Stettlen",3364,493,1146,519,812,275,119
"2023","......0359 Vechigen",5731,761,2140,942,1280,460,148
"2023","......0360 Wohlen bei Bern",9130,1392,3288,1302,2112,735,301
"2023","......0361 Zollikofen",11249,2000,3576,1869,2420,970,414
"2023","......0362 Ittigen",11368,2135,3492,1959,2308,910,564
"2023","......0363 Ostermundigen",17816,3720,5478,2979,3648,1420,571
"2023","......0403 Bäriswil",1101,129,402,180,284,85,21
"2023","......0535 Deisswil bei Münchenbuchsee",85,15,40,21,4,5,0
"2023","......0538 Fraubrunnen",5451,681,1800,891,1448,485,146
"2023","......0540 Jegenstorf",5785,875,2004,906,1392,400,208
"2023","......0541 Iffwil",438,41,148,87,96,40,26
"2023","......0543 Mattstetten",585,72,214,87,156,50,6
"2023","......0544 Moosseedorf",4065,653,1306,720,904,340,142
"2023","......0546 Münchenbuchsee",10268,1722,3320,1623,2316,930,357
"2023","......0551 Urtenen-Schönbühl",6452,1071,2096,1041,1424,630,190
"2023","......0553 Wiggiswil",101,21,24,18,28,10,0
"2023","......0557 Zuzwil (BE)",540,57,216,66,124,65,12
"2023","......0602 Arni (BE)",955,134,298,153,236,80,54
"2023","......0603 Biglen",1843,281,660,291,392,135,84
"2023","......0605 Bowil",1291,197,444,177,324,105,44
"2023","......0606 Brenzikofen",512,72,186,87,104,45,18
"2023","......0607 Freimettigen",446,61,154,60,116,55,0
"2023","......0608 Grosshöchstetten",4035,639,1430,585,888,395,98
"2023","......0609 Häutligen",266,38,88,45,60,20,15
"2023","......0610 Herbligen",620,75,172,99,136,120,18
"2023","......0611 Kiesen",998,135,332,135,268,110,18
"2023","......0612 Konolfingen",5357,911,1954,807,1056,490,139
"2023","......0613 Landiswil",615,77,224,93,96,75,50
"2023","......0614 Linden",1143,169,378,120,224,185,67
"2023","......0615 Mirchel",584,77,182,99,144,55,27
"2023","......0616 Münsingen",12882,2140,4482,1896,2940,1010,414
"2023","......0617 Niederhünigen",706,95,264,99,172,70,6
"2023","......0619 Oberdiessbach",3600,490,1290,570,776,260,214
"2023","......0620 Oberthal",699,107,248,114,152,60,18
"2023","......0622 Oppligen",652,110,220,93,108,85,36
"2023","......0623 Rubigen",2850,417,1092,489,652,150,50
"2023","......0626 Walkringen",1764,253,618,237,428,125,103
"2023","......0627 Worb",11327,2030,3792,1794,2296,930,485
"2023","......0628 Zäziwil",1610,285,556,228,396,120,25
"2023","......0629 Oberhünigen",310,30,104,27,68,50,31
"2023","......0630 Allmendingen",548,69,216,111,84,50,18
"2023","......0632 Wichtrach",4392,639,1456,675,1156,335,131
"2023","......0662 Ferenbalm",1223,165,460,195,220,95,88
"2023","......0663 Frauenkappelen",1461,211,514,276,324,110,26
"2023","......0665 Gurbrü",241,44,76,39,60,10,12
"2023","......0666 Kriechenwil",423,88,140,51,60,50,34
"2023","......0667 Laupen",3234,644,1146,471,624,240,109
"2023","......0668 Mühleberg",3004,471,1154,411,620,270,78
"2023","......0669 Münchenwiler",558,51,180,108,152,55,12
"2023","......0670 Neuenegg",5706,811,1926,888,1412,465,204
"2023","......0671 Wileroltigen",376,32,124,81,100,30,9
"2023","......0852 Guggisberg",1459,239,456,228,276,160,100
"2023","......0853 Rüschegg",1711,289,670,249,320,150,33
